100.84 101 10.1
105.01 165 16.5
107.726 154 15.4
108.482 150 15
110.588 136 13.6
111.378 114 11.4
113.237 127 12.7
115.429 135 13.5
115.429 145 14.5
115.543 123 12.3
116.242 139 13.9
116.83 164 16.4
116.932 136 13.6
117.369 116 11.6
117.438 125 12.5
117.633 138 13.8
117.962 146 14.6
118.079 115 11.5
118.506 129 12.9
118.637 147 14.7
118.639 139 13.9
119.572 137 13.7
121.42 118 11.8
124.995 151 15.1
127.71 103 10.3
127.808 108 10.8
128.711 95 9.5
146.659 130 13
155.336 151 15.1
160.968 65 6.5
166.821 119 11.9
174.94 47 4.7
179.208 96 9.6
183.621 146 14.6
186.406 91 9.1
186.408 99 9.9
187.235 185 18.5
191.488 143 14.3
193.986 164 16.4
193.987 195 19.5
195.14 155 15.5
206.493 26 2.6
224.923 77 7.7
224.925 85 8.5
232.507 221 22.1
232.508 245 24.5
234.284 108 10.8
235.202 209 20.9
237.618 154 15.4
247.016 31 3.1
247.019 27 2.7
248.177 34 3.4
248.178 37 3.7
268.007 109 10.9
268.008 119 11.9
271.86 72 7.2
277.383 143 14.3
285.266 228 22.8
285.267 217 21.7
308.723 135 13.5
308.726 149 14.9
313.462 81 8.1
313.464 75 7.5
328.96 202 20.2
344.25 184 18.4
345.773 151 15.1
346.031 171 17.1
346.03 151 15.1
358.703 142 14.2
361.981 180 18
362.769 130 13
372.98 188 18.8
375.388 125 12.5
381.636 56 5.6
389.56 160 16
405.78 91 9.1
420.564 90 9
421.091 59 5.9
427.599 87 8.7
429.785 113 11.3
443.455 267 26.7
447.904 118 11.8
450.753 165 16.5
465.073 193 19.3
473.849 144 14.4
597.927 44 4.4
65.4063 84 8.4
65.4088 80 8
772.274 27.6 2.76
90.1905 148 14.8
93.4434 139 13.9
