9.92	40.4	0
9.931333679	40.3974740811	1
9.94266650745	40.3949470557	2
9.95399848512	40.392418924	3
9.96532961176	40.3898896863	4
9.97665988716	40.3873593427	5
9.98798931108	40.3848278934	6
9.99931788328	40.3822953386	7
10.0106456035	40.3797616784	8
10.0219724716	40.377226913	9
10.0332984873	40.3746910427	10
10.0446236503	40.3721540675	11
10.0559479605	40.3696159878	12
10.0672714176	40.3670768036	13
10.0785940213	40.3645365151	14
10.0899157715	40.3619951226	15
10.1012366679	40.3594526262	16
10.1125567102	40.3569090261	17
10.1238758984	40.3543643224	18
10.135194232	40.3518185155	19
10.146511711	40.3492716053	20
10.157828335	40.3467235922	21
10.1691441038	40.3441744763	22
10.1804590173	40.3416242578	23
10.1917730751	40.3390729369	24
10.2030862771	40.3365205137	25
10.214398623	40.3339669884	26
10.2257101126	40.3314123613	27
10.2370207457	40.3288566325	28
10.248330522	40.3262998022	29
10.2596394414	40.3237418705	30
10.2709475035	40.3211828377	31
10.2822547082	40.3186227039	32
10.2935610552	40.3160614694	33
10.3048665444	40.3134991342	34
10.3161711754	40.3109356987	35
10.3274749481	40.3083711629	36
10.3387778623	40.305805527	37
10.3500799176	40.3032387913	38
10.361381114	40.300670956	39
10.3726814511	40.2981020211	40
10.3839809287	40.2955319869	41
10.3952795467	40.2929608536	42
10.4065773047	40.2903886213	43
10.4178742026	40.2878152903	44
10.4291702402	40.2852408607	45
10.4404654171	40.2826653327	46
10.4517597333	40.2800887065	47
10.4630531885	40.2775109822	48
10.4743457824	40.2749321602	49
10.4856375148	40.2723522404	50
10.4969283855	40.2697712232	51
10.5082183943	40.2671891087	52
10.519507541	40.2646058971	53
10.5307958253	40.2620215886	54
10.5420832471	40.2594361833	55
10.553369806	40.2568496815	56
10.564655502	40.2542620833	57
10.5759403346	40.2516733889	58
10.5872243039	40.2490835985	59
10.5985074094	40.2464927123	60
10.609789651	40.2439007305	61
10.6210710285	40.2413076532	62
10.6323515417	40.2387134807	63
10.6436311903	40.236118213	64
10.6549099742	40.2335218505	65
10.666187893	40.2309243933	66
10.6774649466	40.2283258415	67
10.6887411348	40.2257261954	68
10.7000164573	40.2231254551	69
10.711290914	40.2205236209	70
10.7225645045	40.2179206929	71
10.7338372288	40.2153166713	72
10.7451090865	40.2127115562	73
10.7563800775	40.210105348	74
10.7676502015	40.2074980466	75
10.7789194584	40.2048896525	76
10.7901878478	40.2022801656	77
10.8014553697	40.1996695862	78
10.8127220237	40.1970579146	79
10.8239878097	40.1944451508	80
10.8352527274	40.1918312951	81
10.8465167766	40.1892163476	82
10.8577799572	40.1866003086	83
10.8690422689	40.1839831781	84
10.8803037114	40.1813649565	85
10.8915642846	40.1787456439	86
10.9028239883	40.1761252404	87
10.9140828222	40.1735037463	88
10.9253407862	40.1708811618	89
10.9365978799	40.168257487	90
10.9478541033	40.165632722	91
10.959109456	40.1630068672	92
10.9703639379	40.1603799227	93
10.9816175488	40.1577518887	94
10.9928702884	40.1551227653	95
11.0041221565	40.1524925528	96
11.015373153	40.1498612513	97
11.0266232776	40.147228861	98
11.0378725301	40.1445953821	99
11.0491209103	40.1419608148	100
11.0603684179	40.1393251592	101
11.0716150528	40.1366884157	102
11.0828608148	40.1340505842	103
11.0941057036	40.1314116652	104
11.105349719	40.1287716586	105
11.1165928609	40.1261305647	106
11.127835129	40.1234883837	107
11.139076523	40.1208451158	108
11.1503170429	40.1182007612	109
11.1615566884	40.11555532	110
11.1727954592	40.1129087925	111
11.1840333552	40.1102611787	112
11.1952703762	40.107612479	113
11.2065065219	40.1049626935	114
11.2177417921	40.1023118223	115
11.2289761867	40.0996598658	116
11.2402097054	40.0970068239	117
11.251442348	40.0943526971	118
11.2626741143	40.0916974853	119
11.2739050041	40.0890411889	120
11.2851350173	40.0863838079	121
11.2963641535	40.0837253427	122
11.3075924126	40.0810657933	123
11.3188197943	40.07840516	124
11.3300462986	40.0757434429	125
11.341271925	40.0730806423	126
11.3524966736	40.0704167583	127
