"X" "Y" "Heat_flow"
12.6895747987736 42.1092576489089 81
14.3715822750812 42.0078739189227 77
14.2732452757391 42.0106513969996 52
14.3360253045179 42.0237073075262 62
14.4508287560947 42.1599591969555 60
14.4649184896692 42.1062086469113 57
14.3926938987852 42.0531522656764 77
14.3996388188432 42.0167629989733 73
14.5449218950585 42.0331525461667 50
14.5168647422828 42.1273201626782 59
14.5271435236695 42.0217634738596 55
14.5360318949291 42.1659317655013 59
14.6388137724133 42.1195426941746 43
14.6404809016211 42.0503752673448 62
14.6943713135241 42.1339874769041 34
14.6943713135241 42.1339874769041 48
14.7535408879236 42.010375186279 48
14.8691007078255 42.0156533838968 50
14.7793748492353 42.0689870257022 50
14.8504888583628 42.0239867512671 74
14.8663229089608 42.0009309908745 74
14.8993796464763 42.0092645183398 51
13.9043407827567 42.3095423231206 36
13.9315640550738 42.3042645830879 42
13.9271199154733 42.2312081947601 99
14.2246309185407 42.2450982751317 35
14.2246309357192 42.2423204663071 37
14.3179679133192 42.2156538184252 40
14.31435653872 42.2367651531098 46
14.2940780011579 42.2373206463991 46
14.4568619832049 42.2153765010138 47
14.4893632235344 42.210654333221 47
14.4568614922901 42.2973218630019 49
14.5282537863066 42.1728762618308 50
13.0781980534675 42.4237071646131 75
13.8390593612608 42.4937108344657 38
13.8990621495973 42.41093233438 36
13.8887843598063 42.353709430336 44
14.1026808092162 42.4220442891977 37
14.0718460614534 42.4628779776421 36
14.108514494579 42.4009329596897 36
14.0907360074997 42.4078774207403 36
14.1174031620598 42.4884339822134 34
14.1979623542477 42.3900998129748 43
13.2188353979676 42.597876359265 47
13.3351512679277 42.5414872782919 66
13.787668392072 42.5170442470971 36
13.8696151207134 42.6367681334772 35
13.8779486482872 42.6548239263416 38
13.9590628307103 42.6517686257281 32
14.0162872706308 42.6417687135902 32
14.023787550974 42.6420465210178 49
13.7965558307005 42.7845473512649 36
13.9740631813445 42.6845468339373 42
11.7881463224534 42.8620399913959 112
13.878780356106 42.9045490460118 37
12.3548319960732 43.1467680655848 77
12.3531652685334 43.1464902773032 77
13.6059911066995 43.0712166690628 29
13.6126575386917 43.1412175227962 29
13.6240470326434 43.1164950499876 30
13.7979424099836 43.1339959000232 41
13.7543303640552 43.0281611552566 40
13.8076651605671 43.1106623254221 32
13.7671087493141 43.0101054339116 30
13.3184792323797 43.2051060495893 39
13.3170904720097 43.1801057468095 32
13.4759847310643 43.274274147918 37
13.4379277789843 43.2667739127711 35
13.4954305918647 43.1792730885064 43
13.5595993645018 43.2267738972559 29
13.5745994285263 43.2987192589149 32
13.5357093870792 43.2520518867134 43
13.5896007682133 43.1895513442369 40
13.7287725454755 43.2164966279323 36
13.7407170789566 43.2695528618294 49
13.7032158030027 43.2473302350906 29
13.6546024144322 43.3081641165404 35
13.6546024474535 43.3034418376441 32
13.699882513961 43.2226077051633 29
13.7804413875835 43.186218679183 36
13.7851637724699 43.1887187262662 36
13.7796078474974 43.2117745363523 38
13.768496196839 43.2287191423173 38
13.7682184103847 43.2284413602013 38
13.7823856701759 43.220663541519 28
13.7859970577054 43.2003855350345 33
13.7821078818152 43.2206635405008 37
13.7826634794748 43.2176079505043 30
13.7798856339522 43.212052318463 43
13.7832190523882 43.2181635147277 44
13.7782188200042 43.2242746804715 38
13.3154220187235 43.4164974611504 32
13.264586316029 43.47427573918 26
13.3043101258029 43.465109116834 35
13.3201439833909 43.4762204243142 36
13.3748689615912 43.3853862053679 36
13.4634831342986 43.4303870893611 29
13.6068224945973 43.3534422597945 49
13.5312636118854 43.4153871662121 32
13.6223787459423 43.3389976998912 42
13.5573751514702 43.4953882344264 54
13.5573751514702 43.4953882344264 54
13.6498793770229 43.3987207447184 37
13.6437678895586 43.4189987446825 46
13.6798808855535 43.3470535670082 37
13.6443239699297 43.3473312155799 37
10.6789304963057 43.6531550735837 72
13.4729272671554 43.523721590957 35
12.015366599906 43.6553381584281 117
12.9692957745029 43.6653879997625 38
13.1059683585792 43.5773319191894 34
13.1868052718468 43.5131647933875 37
13.1926387911974 43.5181648772184 37
13.2470844131117 43.6401110243045 64
13.3173656496862 43.5373322669079 31
13.2695852215759 43.6476112046799 59
13.3165317945096 43.6037219623414 45
13.2743081248057 43.5803881788334 54
13.3365331122443 43.5289989068179 23
13.3904239062254 43.5509438274096 44
13.5329295354932 43.5281663181652 78
10.8722710240689 43.6712118390772 78
10.9008828404812 43.711490243788 90
10.9247729178119 43.6826011324039 79
13.0617985808181 43.7628895734892 25
12.7565095199965 43.7042764889253 36
13.0609658812979 43.6759440558539 32
13.4532828943214 43.4095534652408 29
12.5881676889977 43.9545566536676 46
12.0203670855323 44.0601110300609 64
12.2645423463559 44.1592800377576 64
12.3498235619773 44.143724661738 54
12.44510499155 44.1487251405197 32
12.4126036846564 44.1542806248546 32
12.4473272045891 44.1601141828123 32
12.4281606759239 44.0548349969141 50
12.5112196475379 44.0303906051941 36
10.7811507806604 44.2476073960907 97
10.9128218190405 44.3206645471024 45
11.7297982089557 44.2923348409714 38
11.6695178655175 44.3170570939115 40
11.6542394537545 44.3215015227575 40
11.9731418194884 44.1987236699763 31
12.1073133325247 44.2395581285656 32
12.0875902306746 44.2526137606971 32
12.040365742747 44.3017808380634 31
12.2264847860708 44.2209473151049 34
12.2259291085824 44.2326141271116 34
12.3684348238835 44.2112255962907 30
12.4234371930983 44.183447707153 36
10.1372351843014 44.4231617696143 99
10.5133614549804 44.3656630531365 81
10.6269756085498 44.4992764627211 72
10.8783744769372 44.4784441594337 37
10.9089310549478 44.4951111951346 36
11.0375480119137 44.4089996329463 57
11.1136614367111 44.4751119698659 38
11.1617186277362 44.4992791855166 41
11.2456118514551 44.3878892866528 48
11.2817233057624 44.4987242153095 45
11.3464483371524 44.4684463658177 45
11.3464483371524 44.4684463658177 45
11.5750692455743 44.372057346563 43
11.5692357215239 44.3681683802938 38
11.5181224326618 44.3887239538027 46
11.7139625325634 44.4815038492912 36
11.6906282102875 44.4901149611686 37
11.7200746625098 44.396225007572 37
11.7364642777879 44.386502738041 36
11.6917401809164 44.4012249382195 39
11.7322973020284 44.4026140354888 38
11.7692434065602 44.3781694516948 32
11.8389680204915 44.4137257864256 22
11.754798367367 44.3817805413774 36
11.8564686043146 44.424559339617 34
11.8564686043146 44.424559339617 34
11.946194359508 44.4203930333626 34
11.9995290785754 44.4981720542535 39
11.9614727623208 44.4170597274084 47
11.9595283065529 44.4098374037921 37
11.9803621446481 44.4442823851035 37
11.9467497802567 44.4378932602108 38
11.9223049773732 44.3715034094232 39
11.9653619661625 44.3987261772095 31
11.9856397491468 44.4867829552879 39
11.9856397491468 44.4867829552879 38
11.9039703650662 44.4345596873111 52
11.9039703650662 44.4345596873111 46
12.0103623094977 44.5570617522137 42
12.0931439088395 44.490950164684 32
12.1145336329468 44.4909502613489 27
12.0931439088395 44.490950164684 32
12.2214822398405 44.4926174295554 25
12.1812031679718 44.4606723939156 29
12.1425904231721 44.4751168507068 32
12.2150935295166 44.4434501019988 27
12.1828698463027 44.4667835910626 27
12.159813655774 44.4365053209121 27
12.1748139860034 44.4656724295545 25
12.1828700670372 44.441505488493 31
12.1828700961261 44.438172112368 31
12.1798142006001 44.4634502011776 22
12.25259495914 44.4473392079198 27
12.2848187385955 44.412616683085 39
12.2803742501642 44.3976164711731 32
12.2664839304776 44.5003955079518 25
12.2664839304776 44.5003955079518 25
12.2664839304776 44.5003955079518 25
12.2662061418447 44.5003955067177 25
12.2848187385955 44.412616683085 39
9.94083650863974 44.6251077172444 64
10.1197325434028 44.6073306957972 58
10.1488997887434 44.6592759685785 51
10.1491775446276 44.6623315650798 56
10.1747343621009 44.6373313818395 70
10.145288789723 44.6356645333363 75
10.1583446216737 44.6573315505215 82
10.3361299479666 44.5978873010163 53
10.3411294387223 44.6648326353158 41
10.4119659709202 44.6228880281817 55
10.5925282707146 44.6509449000028 50
10.5880838358992 44.6331668693263 34
10.5944727509633 44.6548338493437 54
10.5714161990304 44.6642782948948 54
10.5625269692247 44.663722685438 44
10.6503084322247 44.6381672592711 32
10.6569759515454 44.5801109900131 53
10.7658688085366 44.6070563460077 49
10.7586463554056 44.6020562442685 32
10.7672576616995 44.6159453567284 39
10.9894896015447 44.5095562329133 45
